
### Methode : pt_milieu


#### test pour le monome de degré 0

N[i]  |       I        |      Q[i]      |      E[i]     
   16 |       1.682942 |      1.6814806 |   0.0014613629
   32 |       1.682942 |      1.6825767 |  0.00036525151
   64 |       1.682942 |      1.6828507 |  9.1307303e-05
  128 |       1.682942 |      1.6829191 |  2.2826477e-05
  256 |       1.682942 |      1.6829363 |  5.7065976e-06
  512 |       1.682942 |      1.6829405 |   1.426648e-06


#### test pour f(x) = arctan_der(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |      1.5707963 |      1.1388889 |     0.43190744
    2 |      1.5707963 |      1.5260896 |    0.044706701
    4 |      1.5707963 |      1.5569394 |    0.013856925
    8 |      1.5707963 |      1.5673243 |   0.0034720142
   16 |      1.5707963 |      1.5699283 |   0.0008680523
   32 |      1.5707963 |      1.5705793 |  0.00021701384
   64 |      1.5707963 |      1.5707421 |  5.4253471e-05
  128 |      1.5707963 |      1.5707828 |  1.3563368e-05
  256 |      1.5707963 |      1.5707929 |   3.390842e-06
  512 |      1.5707963 |      1.5707955 |   8.477105e-07
